,uni_par_id,uni_id,strain,movie_name,replicate,id_colony,id_par,frames,length,area,generation,age,fluo1,fluo1_avg,lifetime,elongation_rate,elongation_rate_linreg
2,Psy-eGFP-0-123,Psy-eGFP-0-124,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,123,50,49.65394592285156,446.5,8.0,2,2098.042253521127,2094.13684325418,1.0,0.06993977852990259,0.15867950442597537
3,Psy-eGFP-0-123,Psy-eGFP-0-124,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,123,51,52.522579193115234,476.5,8.0,3,2129.247169811321,2094.13684325418,1.0,0.06993977852990259,0.15867950442597537
4,Psy-eGFP-0-123,Psy-eGFP-0-124,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,0,123,52,54.11179733276367,492.5,8.0,4,2071.08378870674,2094.13684325418,1.0,0.06993977852990259,0.15867950442597537
0,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,44,41.53505706787109,388.5,5.0,0,2799.2843822843824,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
1,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,45,44.63438034057617,441.0,5.0,1,2774.944099378882,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
2,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,46,44.80905151367188,433.0,5.0,2,2797.6526315789474,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
3,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,47,49.35097885131836,452.0,5.0,3,2828.719438877756,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
4,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,48,52.40000534057617,479.0,5.0,4,2729.6793168880454,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
5,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,49,54.30252456665039,505.0,5.0,5,2633.4108108108107,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
6,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,50,58.115604400634766,553.0,5.0,6,2566.170247933884,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
7,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,51,60.10407638549805,567.0,5.0,7,2536.75,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
8,Psy-eGFP-0-130,Psy-eGFP-0-131,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,130,52,62.22539520263672,587.0,5.0,8,2520.6869158878503,2687.4775381822847,2.0,0.08777642602439972,0.20835216402433818
0,Psy-eGFP-0-137,Psy-eGFP-0-138,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,137,47,37.14439392089844,316.5,6.0,0,2441.5734463276835,2363.2755400460187,1.25,0.05056770099407974,0.09966396247542432
1,Psy-eGFP-0-137,Psy-eGFP-0-138,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,137,48,39.995853424072266,330.5,6.0,1,2516.111111111112,2363.2755400460187,1.25,0.05056770099407974,0.09966396247542432
2,Psy-eGFP-0-137,Psy-eGFP-0-138,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,137,49,41.20802307128906,330.5,6.0,2,2433.4850948509484,2363.2755400460187,1.25,0.05056770099407974,0.09966396247542432
3,Psy-eGFP-0-137,Psy-eGFP-0-138,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,137,50,41.55747604370117,339.0,6.0,3,2315.3703703703704,2363.2755400460187,1.25,0.05056770099407974,0.09966396247542432
4,Psy-eGFP-0-137,Psy-eGFP-0-138,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,137,51,41.84915542602539,328.5,6.0,4,2293.358695652174,2363.2755400460187,1.25,0.05056770099407974,0.09966396247542432
5,Psy-eGFP-0-137,Psy-eGFP-0-138,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,137,52,42.96382141113281,346.0,6.0,5,2179.754521963824,2363.2755400460187,1.25,0.05056770099407974,0.09966396247542432
0,Psy-eGFP-0-141,Psy-eGFP-0-142,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,-1,141,47,43.16415023803711,376.5,,0,1851.983412322275,1807.2008780780632,1.25,0.057700811271767974,0.13155078234545203
1,Psy-eGFP-0-141,Psy-eGFP-0-142,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,-1,141,48,45.88970565795898,414.5,,1,1850.6933045356373,1807.2008780780632,1.25,0.057700811271767974,0.13155078234545203
2,Psy-eGFP-0-141,Psy-eGFP-0-142,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,-1,141,49,46.83674240112305,418.5,,2,1804.1602564102564,1807.2008780780632,1.25,0.057700811271767974,0.13155078234545203
3,Psy-eGFP-0-141,Psy-eGFP-0-142,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,-1,141,50,48.50267791748047,453.0,,3,1823.6349206349207,1807.2008780780632,1.25,0.057700811271767974,0.13155078234545203
4,Psy-eGFP-0-141,Psy-eGFP-0-142,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,-1,141,51,50.47541809082031,498.0,,4,1796.0127041742287,1807.2008780780632,1.25,0.057700811271767974,0.13155078234545203
5,Psy-eGFP-0-141,Psy-eGFP-0-142,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,-1,141,52,50.96232223510742,482.0,,5,1716.7206703910615,1807.2008780780632,1.25,0.057700811271767974,0.13155078234545203
0,Psy-eGFP-0-16,Psy-eGFP-0-17,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,16,15,89.48936462402344,1027.5,2.0,0,1630.742397137746,1996.6767934515235,2.25,0.13307233017634518,0.30318748869687884
1,Psy-eGFP-0-16,Psy-eGFP-0-17,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,16,16,97.96263885498048,1111.0,2.0,1,1722.796849087894,1996.6767934515235,2.25,0.13307233017634518,0.30318748869687884
2,Psy-eGFP-0-16,Psy-eGFP-0-17,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,16,17,106.4951400756836,1331.0,2.0,2,1882.0181945416373,1996.6767934515235,2.25,0.13307233017634518,0.30318748869687884
3,Psy-eGFP-0-16,Psy-eGFP-0-17,Psy-eGFP,Psy-eGFP_2023.09.27_Psy_AgarPads#13_Pos41,0,2,16,18,113.59200286865234,1401.5,2.0,3,2072.214190981432,1996.6767934515235,2.25,0.13307233017634518,0.30318748869687884
